date,symbol,close,volume
2021-09-14,MSFT,299.79,21853433
2021-09-14,NVDA,22.24,199755000
2021-09-15,AAPL,149.03,83281315
2021-09-15,AMZN,173.79,59150000
2021-09-15,GOOGL,144.43,27408000
2021-09-15,MSFT,304.82,28356304
2021-09-15,NVDA,22.34,166538010
2021-09-16,AAPL,148.79,68034149
2021-09-16,AMZN,174.41,51672000
2021-09-16,GOOGL,143.61,26195420
2021-09-16,MSFT,305.22,19550815
2021-09-16,NVDA,22.24,156033440
2021-09-17,AAPL,146.06,129868824
2021-09-17,AMZN,173.13,92332000
2021-09-17,GOOGL,140.8,53384460
2021-09-17,MSFT,299.87,41372500
2021-09-17,NVDA,21.9,294503000
2021-09-20,AAPL,142.94,123478900
2021-09-20,AMZN,167.79,93382000
2021-09-20,GOOGL,138.72,46518040
2021-09-20,MSFT,294.3,38278700
2021-09-20,NVDA,21.11,349440450
2021-09-21,AAPL,143.43,75834000
2021-09-21,AMZN,167.18,55618000
2021-09-21,GOOGL,139.03,25332000
2021-09-21,MSFT,294.8,22364103
2021-09-21,NVDA,21.25,204688100
2021-09-22,AAPL,145.85,76404341
2021-09-22,AMZN,169.0,48228000
2021-09-22,GOOGL,140.28,25056000
2021-09-22,MSFT,298.58,26626342
2021-09-22,NVDA,21.94,268726000
2021-09-23,AAPL,146.83,64838200
2021-09-23,AMZN,170.8,47588000
2021-09-23,GOOGL,141.22,20952000
2021-09-23,MSFT,299.56,18604601
2021-09-23,NVDA,22.48,248555000
2021-09-24,AAPL,146.92,53477900
2021-09-24,AMZN,171.28,42324000
2021-09-24,GOOGL,142.22,22984000
2021-09-24,MSFT,299.35,14999000
2021-09-24,NVDA,22.08,217655450
2021-09-27,AAPL,145.37,74150729
2021-09-27,AMZN,170.29,72690000
2021-09-27,GOOGL,141.07,21882000
2021-09-27,MSFT,294.17,23571742
2021-09-27,NVDA,21.66,245215140
2021-09-28,AAPL,141.91,108972340
2021-09-28,AMZN,165.8,88616000
2021-09-28,GOOGL,135.83,45772200
2021-09-28,MSFT,283.52,43186237
2021-09-28,NVDA,20.7,343069000
2021-09-29,AAPL,142.83,74602044
2021-09-29,AMZN,165.06,51246000
2021-09-29,GOOGL,134.35,30848700
2021-09-29,MSFT,284.0,26353700
2021-09-29,NVDA,20.52,218394000
2021-09-30,AAPL,141.5,89056700
2021-09-30,AMZN,164.25,56848000
2021-09-30,GOOGL,133.68,38028800
2021-09-30,MSFT,281.92,32343635
2021-09-30,NVDA,20.72,221009120
2021-10-01,AAPL,142.65,94639600
2021-10-01,AMZN,164.16,56712000
2021-10-01,GOOGL,136.54,35360180
2021-10-01,MSFT,289.1,30086300
2021-10-01,NVDA,20.74,240978000
2021-10-04,AAPL,139.14,98322008
2021-10-04,AMZN,159.49,90462000
2021-10-04,GOOGL,133.66,51202000
2021-10-04,MSFT,283.11,31350747
2021-10-04,NVDA,19.73,345635000
2021-10-05,AAPL,141.11,80861100
2021-10-05,AMZN,161.05,65384000
2021-10-05,GOOGL,136.02,32404000
2021-10-05,MSFT,288.76,24993024
2021-10-05,NVDA,20.45,279282000
2021-10-06,AAPL,142.0,83221119
2021-10-06,AMZN,163.1,50660000
2021-10-06,GOOGL,137.57,24364280
2021-10-06,MSFT,293.11,28002600
2021-10-06,NVDA,20.7,297202000
2021-10-07,AAPL,143.29,61732700
2021-10-07,AMZN,165.12,48182000
2021-10-07,GOOGL,139.23,25110140
2021-10-07,MSFT,294.85,20430500
2021-10-07,NVDA,21.08,256919000
2021-10-08,AAPL,142.9,58773200
2021-10-08,AMZN,164.43,39964000
2021-10-08,GOOGL,139.79,26526000
2021-10-08,MSFT,294.85,17685700
2021-10-08,NVDA,20.83,151258000
2021-10-11,AAPL,142.81,64452219
2021-10-11,AMZN,162.32,40684000
2021-10-11,GOOGL,138.91,17954000
2021-10-11,MSFT,294.23,19298634
2021-10-11,NVDA,20.7,163388000
2021-10-12,AAPL,141.51,73035900
2021-10-12,AMZN,162.37,36392000
2021-10-12,GOOGL,136.45,36332240
2021-10-12,MSFT,292.88,17974143
2021-10-12,NVDA,20.67,162134000
