symbol,date,open,high,low,close,volume,change,changePercent,vwap
AAPL,2025-10-24,261.19,264.13,259.18,262.82,38253717,1.63,0.62407,261.83
AAPL,2025-10-23,259.94,260.62,258.01,259.58,32754941,-0.36,-0.13849,259.5375
AAPL,2025-10-22,262.65,262.85,255.43,258.45,45015300,-4.2,-1.6,259.845
AAPL,2025-10-21,261.88,265.29,261.83,262.77,46695948,0.89,0.33985,262.9425
AAPL,2025-10-20,255.89,264.38,255.63,262.24,90483029,6.36,2.48,259.535
AAPL,2025-10-17,248.02,253.38,247.27,252.29,49147000,4.27,1.72,250.24
AAPL,2025-10-16,248.25,249.04,245.13,247.45,39777000,-0.8,-0.32226,247.4675
AAPL,2025-10-15,249.49,251.82,247.47,249.34,33893611,-0.145,-0.06012265,249.53
AAPL,2025-10-14,246.6,248.85,244.7,247.77,35478000,1.17,0.47445,246.98
AAPL,2025-10-13,249.38,249.69,245.56,247.66,38142942,-1.72,-0.68971,248.0725
AAPL,2025-10-10,254.94,256.38,244.0,245.27,61999100,-9.67,-3.79,250.1475
AAPL,2025-10-09,257.81,258.0,253.14,254.04,38322012,-3.77,-1.46,255.7475
AAPL,2025-10-08,256.52,258.52,256.11,258.06,36496900,1.54,0.60034,257.3025
AAPL,2025-10-07,256.81,257.4,255.43,256.48,31955800,-0.325,-0.1285,256.53
AAPL,2025-10-06,257.99,259.07,255.05,256.69,44664118,-1.3,-0.5039,257.2
AAPL,2025-10-03,254.67,259.24,253.95,258.02,49155614,3.35,1.32,256.47
AAPL,2025-10-02,256.58,258.18,254.15,257.13,42630239,0.555,0.21436,256.51
AAPL,2025-10-01,255.04,258.79,254.93,255.45,48713940,0.41,0.16076,256.0525
AAPL,2025-09-30,254.86,255.92,253.11,254.63,37704300,-0.225,-0.09024563,254.63
AAPL,2025-09-29,254.56,255.0,253.01,254.43,40127700,-0.13,-0.05106851,254.25
AAPL,2025-09-26,254.1,257.6,253.78,255.46,46076300,1.37,0.53522,255.235
AAPL,2025-09-25,253.21,257.17,251.71,256.87,55202100,3.66,1.45,254.74
AAPL,2025-09-24,255.22,255.74,251.04,252.31,42303710,-2.91,-1.14,253.5775
AAPL,2025-09-23,255.88,257.34,253.58,254.43,60275200,-1.44,-0.56667,255.3075
AAPL,2025-09-22,248.3,256.64,248.12,256.08,105517416,7.78,3.13,252.285
AAPL,2025-09-19,241.23,246.3,240.21,245.5,163741314,4.28,1.77,243.31
AAPL,2025-09-18,239.97,241.2,236.65,237.88,44249600,-2.09,-0.87094,238.925
AAPL,2025-09-17,238.97,240.1,237.73,238.99,46508017,0.02,0.00836925,238.9475
AAPL,2025-09-16,237.18,241.22,236.32,238.15,63421100,0.975,0.40897,238.2175
AAPL,2025-09-15,237.0,238.19,235.03,236.7,42699524,-0.3,-0.12658,236.73
AAPL,2025-09-12,229.22,234.51,229.02,234.07,55824216,4.85,2.12,231.705
